number,url,date,status,description
13821288,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13821288,05/16/2022,PASSED,PERMIT INSPECTION
13813188,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13813188,05/16/2022,PASSED,ANNUAL INSPECTION
13808208,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13808208,05/13/2022,FAILED,PERMIT INSPECTION
13748085,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13748085,04/25/2022,FAILED,ANNUAL INSPECTION
13684797,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13684797,03/21/2022,FAILED,ANNUAL INSPECTION
13633105,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13633105,02/10/2022,FAILED,ANNUAL INSPECTION
13617993,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13617993,12/06/2021,FAILED,ANNUAL INSPECTION
13587202,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13587202,10/25/2021,FAILED,ANNUAL INSPECTION
12941650,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12941650,08/23/2021,FAILED,CONSERVATION ANNUAL
13528258,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13528258,08/09/2021,FAILED,ANNUAL INSPECTION
13346279,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13346279,03/03/2021,FAILED,ANNUAL INSPECTION
13175960,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=13175960,11/30/2020,FAILED,ANNUAL INSPECTION
12770690,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12770690,05/30/2019,PASSED,BOILER ANNUAL INSPECTION
12670542,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12670542,05/21/2019,FAILED,CONSERVATION ANNUAL
12277260,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12277260,08/27/2018,FAILED,CONSERVATION ANNUAL
12418304,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12418304,05/30/2018,PASSED,BOILER ANNUAL INSPECTION
12226018,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12226018,06/21/2017,PASSED,ANNUAL INSPECTION
12136453,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12136453,06/21/2017,PASSED,ANNUAL INSPECTION
11228963,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11228963,06/19/2017,FAILED,CONSERVATION ANNUAL
12101602,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12101602,04/21/2017,PASSED,ANNUAL INSPECTION
12214968,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12214968,03/22/2017,PASSED,SIGN ANNUAL INSPECTION
12051724,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=12051724,12/21/2016,FAILED,CONSERVATION COMPLAINT INSPECT
11750904,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11750904,11/03/2016,PASSED,BOILER ANNUAL INSPECTION
11986288,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11986288,09/01/2016,PASSED,REFRIGERATION ANNUAL
11787131,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11787131,08/24/2016,PASSED,REFRIGERATION ANNUAL
11835125,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11835125,08/02/2016,PASSED,ANNUAL INSPECTION
11933971,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11933971,08/02/2016,PASSED,ANNUAL INSPECTION
11413712,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11413712,10/23/2015,PASSED,BOILER ANNUAL INSPECTION
11623884,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11623884,08/28/2015,PASSED,ANNUAL INSPECTION
11244373,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11244373,07/28/2015,PASSED,ANNUAL INSPECTION
11014536,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11014536,07/28/2015,PASSED,ANNUAL INSPECTION
11542833,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11542833,07/20/2015,PASSED,SIGN ANNUAL INSPECTION
11598664,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11598664,06/02/2015,FAILED,ANNUAL INSPECTION
11497331,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11497331,05/20/2015,FAILED,ANNUAL INSPECTION
11224848,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11224848,02/27/2015,FAILED,ANNUAL INSPECTION
11074793,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11074793,10/15/2014,PASSED,BOILER ANNUAL INSPECTION
10934450,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934450,09/19/2014,PASSED,STRUCTURAL SIGN INSPECTION
10934449,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10934449,09/19/2014,PASSED,SIGN PERMIT INSPECTION
10995934,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10995934,04/04/2014,FAILED,CONSERVATION ANNUAL
10895288,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10895288,12/18/2013,PASSED,ANNUAL INSPECTION
10789690,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10789690,12/04/2013,PASSED,REFRIGERATION ANNUAL
10775620,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10775620,10/22/2013,PASSED,BOILER ANNUAL INSPECTION
10912983,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10912983,10/01/2013,PASSED,ANNUAL INSPECTION
11002791,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=11002791,10/01/2013,FAILED,ANNUAL INSPECTION
10715924,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10715924,08/21/2013,FAILED,CONSERVATION ANNUAL
10270889,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10270889,10/16/2012,FAILED,CONSERVATION ANNUAL
10681952,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10681952,08/28/2012,PASSED,ANNUAL INSPECTION
10740771,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10740771,08/28/2012,PASSED,ANNUAL INSPECTION
10560743,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=10560743,05/23/2012,PASSED,ANNUAL INSPECTION
